zcta5,white,black,api,native,multiple,hispanic
00601,0.002613548068093523,7.06364342727979e-05,0.0,0.0,0.001554001554001554,0.9962562689835417
00602,0.006031746031746032,0.00031746031746031746,0.00031746031746031746,0.0,0.0012063492063492064,0.9923174603174603
00603,0.011877348200218156,0.0016482850563568053,0.0010422979032844505,0.00012119743061447097,0.002351230153920737,0.9834201914919404
00606,0.006287787182587666,0.0002418379685610641,0.0,0.0,0.0014510278113663846,0.992261185006046
00610,0.00653897880628855,0.0006492603070073738,0.00041738162593331167,0.0,0.001576775031303622,0.9911886101191857
00611,0.008639308855291577,0.0,0.0014398848092152627,0.0,0.0028797696184305254,0.9877609791216703
00612,0.006382734033581232,0.0008050295177489842,0.000632523192517059,0.0,0.001035037951391551,0.9912405121521123
00616,0.003289473684210526,0.0008528265107212475,0.0,0.0,0.0008528265107212475,0.995004873294347
00617,0.0029989094874591058,0.0004362050163576881,5.452562704471101e-05,0.0006543075245365322,0.0007088331515812432,0.9951472191930207
00622,0.01624304406677696,0.002255978342607911,0.00030079711234772146,0.0,0.0015039855617386072,0.9799969920288765
00623,0.008812050250030491,0.000579338943773631,0.0009147457006952067,9.147457006952067e-05,0.0015855592145383583,0.9881692889376753
00624,0.0026754710536801957,0.0009107986565719816,0.0004553993282859908,0.0,0.0005123242443217396,0.9954460067171401
00627,0.008075172515049186,0.00029364263691087944,0.00018352664806929966,0.0001101159888415798,0.0011745705476435178,0.9903832036411687
00631,0.002575107296137339,0.0,0.0,0.0,0.0008583690987124463,0.9965665236051502
00636,0.018292682926829267,0.0020325203252032522,0.0,0.0,0.0,0.9796747967479674
00637,0.004441889632107023,0.0005225752508361204,0.00020903010033444816,5.225752508361204e-05,0.0010974080267558528,0.993938127090301
00638,0.0035386185777475333,0.0003402517863218782,0.0009527050017012589,0.0002041510717931269,0.0014290575025518884,0.9935352160598843
00641,0.006386138613861386,0.00039603960396039607,0.0005445544554455446,0.0,0.0005445544554455446,0.9922277227722772
00646,0.023330159162018773,0.0018364848319956468,0.0023466195075499932,0.00010202693511086927,0.003502924772139845,0.9695619643585907
00647,0.007575757575757576,0.000505050505050505,0.0,0.0,0.00101010101010101,0.990909090909091
00650,0.0030605815104869927,0.0005401026194977045,0.0003600684129984697,0.0,0.001080205238995409,0.9950490593212711
00652,0.0018593120545398203,0.0,0.0006197706848466068,0.0,0.0009296560272699101,0.9965912612333436
00653,0.007748883635408458,0.0015760441292356187,0.0,0.0,0.0015760441292356187,0.9896243761491988
00656,0.0017519035105451116,0.00020214271275520516,0.00020214271275520516,0.0,0.0019540462233003167,0.9963614311704063
00659,0.00589504880327288,0.0011918951132300357,0.0006442676287729923,6.442676287729922e-05,0.0012241084946686854,0.9912379602486873
00660,0.005147225796684581,0.0010597229581409432,0.0005298614790704716,7.569449701006736e-05,0.0011354174551510105,0.9920520778139429
00662,0.010577150983645414,0.000977719838824366,0.0006814410997866793,2.9627873903768665e-05,0.001955439677648732,0.9860748992652287
00664,0.00402166776099803,0.00041037426132632963,0.00024622455679579775,0.0,0.0006565988181221273,0.9946651346027577
00667,0.006185985194199372,0.0010140959334753068,0.0002535239833688267,0.0,0.0011662103234966028,0.9914308893621336
00669,0.004910406616126809,0.00038766368022053756,0.00021536871123363198,0.00021536871123363198,0.0026705720192970366,0.9919021364576155
00670,0.0049682583494341705,0.0008280430582390284,0.0005520287054926856,0.0,0.0023461219983439137,0.9921335909467293
00674,0.005344144476181701,0.000952117694032372,0.0005221290580177524,0.0,0.0014128198040480359,0.9919530698117264
00676,0.00235903910688773,0.000730969864106057,0.0002990331262252052,6.645180582782336e-05,0.0010632288932451738,0.9957803103299332
00677,0.04696853415195702,0.001841903300076746,0.0008442056792018419,0.0004604758250191865,0.003683806600153492,0.9473522640061397
00678,0.006806282722513089,0.00033317467872441694,0.0004283674440742504,0.0,0.0010947168015230842,0.991432651118515
00680,0.006174099397897745,0.0009694866823145219,0.0007143586080212267,0.0001020512297173181,0.001020512297173181,0.9911470558220227
00682,0.015734413228718467,0.002362271154981861,0.0020669872606091286,0.0,0.002277904328018223,0.9778537079220451
00683,0.005396262886597938,0.0009262242268041237,0.0006443298969072165,4.027061855670103e-05,0.0010470360824742268,0.9921472293814433
00685,0.004313960455362493,0.0004194128220491312,0.00014979029358897544,0.00011983223487118035,0.0011384062312762133,0.9939784301977231
00687,0.003127141877998629,4.2837559972583965e-05,0.0002141877998629198,8.567511994516793e-05,0.0006425633995887594,0.9959304318026045
00688,0.004503641241855117,0.0008623993867382138,0.0004791107704101188,0.0,0.0003832886163280951,0.9937715599846685
00690,0.009288627095604893,0.0020389669234254643,0.0011327594019030357,0.0,0.0015858631626642502,0.986180335296783
00692,0.007457932016639808,0.0017614211295581457,0.001199265449911929,0.0001873852265487389,0.0020987145373458755,0.987370235730615
00693,0.005515504212629202,0.0006731520889429341,0.00026057500217145836,0.00021714583514288196,0.0017371666811430556,0.9919221749326848
00694,0.009900990099009901,0.0,0.0,0.0,0.0,0.9900990099009901
00698,0.004061164671398806,0.00035314475403467883,0.0005650316064554861,0.00010594342621040364,0.0010947487375075043,0.9941024826076209
00703,0.0038641351016124414,0.00028623222974906974,0.00023852685812422478,4.7705371624844956e-05,0.001097223547371434,0.9947047037496423
00704,0.009635974304068522,0.0023197715917201997,0.0,0.0,0.00017844396859386153,0.9878658101356174
00705,0.005474815847103325,0.0006967947441767867,0.00014931315946645432,0.0,0.0037328289866613578,0.9909914393788573
00707,0.003181456652653108,0.00181797523008749,0.00022724690376093625,0.0,0.0006817407112828088,0.994432450857857
00714,0.004328669707041818,0.002009739506840844,0.0004637860400401948,7.729767334003247e-05,0.0022416325268609415,0.9910334698925563
00715,0.0035371399696816574,0.001010611419909045,0.0,0.0,0.0025265285497726125,0.9934310257705912
00716,0.007243597937705058,0.0005965315948698283,0.0012356725893732158,0.0001278281989006775,0.001278281989006775,0.9896885252886787
00717,0.0068748939059582416,0.0016975046681378374,0.0010185028008827025,0.0,0.002546257002206756,0.988202342556442
00718,0.0068910681155579115,0.0006891068115557912,0.0007421150278293135,0.0,0.002014312218393851,0.9901404717731248
00719,0.0033412109852497757,0.00040746475429875314,4.074647542987532e-05,8.149295085975064e-05,0.0004482112297286285,0.9958031130307229
00720,0.0032093980864720843,0.0008477655322756449,0.00018166404263049533,0.00024221872350732712,0.00048443744701465424,0.9951556255298535
00723,0.004530263646490902,0.001188265874489417,0.0,0.0,0.00155959896026736,0.9929446713702191
00725,0.00447278411465185,0.0009595592218284246,0.0005107331341990002,0.00013929085478154552,0.0021203163450079707,0.9922306656555182
